0.0,0.0,0
0.0,0.0,1
0.0,0.0,2
0.0,0.0,31
0.0,0.0,32
0.0,0.0,33
0.0,0.0,34
0.0,0.0,62
0.0,0.0,63
0.0,0.0,65
0.0,0.0,67
0.0,0.0,94
0.0,0.0,95
0.0,0.0,97
0.0,0.0,101
0.0,0.0,143
0.0,0.0,144
0.0,0.0,145
0.0,0.0,151
0.0,0.0,186
0.0,0.0,193
0.0,0.0,194
0.0,0.0,231
0.0,0.0,232
0.0,0.0,234
0.0,0.0,241
0.0,0.0,263
0.0,0.0,267
0.0,0.0,272
0.0,0.0,273
0.0,0.0,295
0.0,0.0,296
0.0,0.0,300
0.0,0.0,305
0.0,-0.1,332
0.0,0.0,333
0.0,0.0,337
0.0,0.0,367
0.0,0.0,368
0.0,0.0,369
0.0,0.0,399
0.0,0.0,401
0.0,0.0,430
0.0,0.0,431
0.0,0.0,432
0.0,-0.1,462
0.0,-0.1,464
0.0,-0.1,465
0.0,-0.1,494
0.0,-0.1,496
0.0,-0.1,497
0.0,-0.1,499
0.0,-0.1,525
0.0,-0.1,528
0.0,0.0,532
0.0,0.0,555
0.0,0.0,556
0.0,0.0,560
0.0,0.0,561
0.0,0.0,565
0.0,0.0,585
0.0,0.0,592
0.0,0.0,593
0.0,-0.1,623
0.0,0.0,624
0.0,0.0,625
0.0,-0.1,631
0.0,-0.2,653
0.0,-0.2,654
0.0,-0.2,656
0.0,-0.3,686
0.0,-0.4,687
0.0,-0.4,688
0.0,-0.4,689
0.0,-0.5,725
0.0,-1.0,731
0.0,-1.1,758
0.0,-1.4,764
0.0,-1.6,793
0.0,-1.9,797
0.0,-1.9,800
0.0,-2.1,829
0.0,-2.4,830
0.0,-2.4,832
0.0,-2.6,866
0.0,-2.8,867
-0.8,-3.0,907
-1.2,-3.5,912
-1.2,-3.8,939
-1.2,-3.8,940
-1.4,-3.8,944
-1.4,-4.1,946
-1.4,-4.2,971
-1.4,-4.2,977
-1.8,-4.7,979
-1.8,-5.0,1002
-1.8,-5.0,1008
-1.8,-5.0,1010
-1.8,-5.3,1012
-1.8,-5.7,1032
-2.4,-5.7,1040
-2.4,-6.0,1062
-3.0,-7.1,1094
-3.0,-7.7,1095
-3.0,-8.2,1126
-3.6,-8.2,1127
-3.6,-8.8,1129
-3.6,-9.5,1158
-4.4,-10.3,1162
-4.4,-10.9,1195
-5.2,-11.7,1196
-5.2,-11.7,1200
-5.2,-11.7,1201
-5.2,-12.4,1226
-5.2,-13.2,1227
-5.2,-13.2,1233
-6.2,-14.0,1257
-6.2,-15.0,1261
-6.2,-15.0,1264
-6.2,-15.0,1265
-7.2,-15.9,1295
-7.2,-16.8,1296
